b1,b2,b3,b4,b5,attacker,defender
152,101,117,10656.0,13312.0,bulbasaur,bulbasaur
146,95,102,10656.0,13312.0,bulbasaur,charmander
151,117,116,10656.0,13312.0,bulbasaur,squirtle
142,92,102,10656.0,13312.0,bulbasaur,pikachu
180,127,152,10656.0,13312.0,bulbasaur,ninetales
222,72,77,10656.0,13312.0,bulbasaur,jigglypuff
117,77,97,10656.0,13312.0,bulbasaur,diglett
157,100,102,10656.0,13312.0,bulbasaur,psyduck
132,67,107,10656.0,13312.0,bulbasaur,abra
142,212,97,10656.0,13312.0,bulbasaur,onix
167,97,142,10656.0,13312.0,bulbasaur,drowzee
152,101,117,10944.0,12792.0,charmander,bulbasaur
146,95,102,10944.0,12792.0,charmander,charmander
151,117,116,10944.0,12792.0,charmander,squirtle
142,92,102,10944.0,12792.0,charmander,pikachu
180,127,152,10944.0,12792.0,charmander,ninetales
222,72,77,10944.0,12792.0,charmander,jigglypuff
117,77,97,10944.0,12792.0,charmander,diglett
157,100,102,10944.0,12792.0,charmander,psyduck
132,67,107,10944.0,12792.0,charmander,abra
142,212,97,10944.0,12792.0,charmander,onix
167,97,142,10944.0,12792.0,charmander,drowzee
152,101,117,7920.0,13440.0,squirtle,bulbasaur
146,95,102,7920.0,13440.0,squirtle,charmander
151,117,116,7920.0,13440.0,squirtle,squirtle
142,92,102,7920.0,13440.0,squirtle,pikachu
180,127,152,7920.0,13440.0,squirtle,ninetales
222,72,77,7920.0,13440.0,squirtle,jigglypuff
117,77,97,7920.0,13440.0,squirtle,diglett
157,100,102,7920.0,13440.0,squirtle,psyduck
132,67,107,7920.0,13440.0,squirtle,abra
142,212,97,7920.0,13440.0,squirtle,onix
167,97,142,7920.0,13440.0,squirtle,drowzee
152,101,117,11232.0,10752.0,pikachu,bulbasaur
146,95,102,11232.0,10752.0,pikachu,charmander
151,117,116,11232.0,10752.0,pikachu,squirtle
142,92,102,11232.0,10752.0,pikachu,pikachu
180,127,152,11232.0,10752.0,pikachu,ninetales
222,72,77,11232.0,10752.0,pikachu,jigglypuff
117,77,97,11232.0,10752.0,pikachu,diglett
157,100,102,11232.0,10752.0,pikachu,psyduck
132,67,107,11232.0,10752.0,pikachu,abra
142,212,97,11232.0,10752.0,pikachu,onix
167,97,142,11232.0,10752.0,pikachu,drowzee
152,101,117,13440.0,15184.0,ninetales,bulbasaur
146,95,102,13440.0,15184.0,ninetales,charmander
151,117,116,13440.0,15184.0,ninetales,squirtle
142,92,102,13440.0,15184.0,ninetales,pikachu
180,127,152,13440.0,15184.0,ninetales,ninetales
222,72,77,13440.0,15184.0,ninetales,jigglypuff
117,77,97,13440.0,15184.0,ninetales,diglett
157,100,102,13440.0,15184.0,ninetales,psyduck
132,67,107,13440.0,15184.0,ninetales,abra
142,212,97,13440.0,15184.0,ninetales,onix
167,97,142,13440.0,15184.0,ninetales,drowzee
152,101,117,16960.0,8480.0,jigglypuff,bulbasaur
146,95,102,16960.0,8480.0,jigglypuff,charmander
151,117,116,16960.0,8480.0,jigglypuff,squirtle
142,92,102,16960.0,8480.0,jigglypuff,pikachu
180,127,152,16960.0,8480.0,jigglypuff,ninetales
222,72,77,16960.0,8480.0,jigglypuff,jigglypuff
117,77,97,16960.0,8480.0,jigglypuff,diglett
157,100,102,16960.0,8480.0,jigglypuff,psyduck
132,67,107,16960.0,8480.0,jigglypuff,abra
142,212,97,16960.0,8480.0,jigglypuff,onix
167,97,142,16960.0,8480.0,jigglypuff,drowzee
152,101,117,9360.0,6840.0,diglett,bulbasaur
146,95,102,9360.0,6840.0,diglett,charmander
151,117,116,9360.0,6840.0,diglett,squirtle
142,92,102,9360.0,6840.0,diglett,pikachu
180,127,152,9360.0,6840.0,diglett,ninetales
222,72,77,9360.0,6840.0,diglett,jigglypuff
117,77,97,9360.0,6840.0,diglett,diglett
157,100,102,9360.0,6840.0,diglett,psyduck
132,67,107,9360.0,6840.0,diglett,abra
142,212,97,9360.0,6840.0,diglett,onix
167,97,142,9360.0,6840.0,diglett,drowzee
152,101,117,8208.0,11264.0,psyduck,bulbasaur
146,95,102,8208.0,11264.0,psyduck,charmander
151,117,116,8208.0,11264.0,psyduck,squirtle
142,92,102,8208.0,11264.0,psyduck,pikachu
180,127,152,8208.0,11264.0,psyduck,ninetales
222,72,77,8208.0,11264.0,psyduck,jigglypuff
117,77,97,8208.0,11264.0,psyduck,diglett
157,100,102,8208.0,11264.0,psyduck,psyduck
132,67,107,8208.0,11264.0,psyduck,abra
142,212,97,8208.0,11264.0,psyduck,onix
167,97,142,8208.0,11264.0,psyduck,drowzee
152,101,117,5056.0,13760.0,abra,bulbasaur
146,95,102,5056.0,13760.0,abra,charmander
151,117,116,5056.0,13760.0,abra,squirtle
142,92,102,5056.0,13760.0,abra,pikachu
180,127,152,5056.0,13760.0,abra,ninetales
222,72,77,5056.0,13760.0,abra,jigglypuff
117,77,97,5056.0,13760.0,abra,diglett
157,100,102,5056.0,13760.0,abra,psyduck
132,67,107,5056.0,13760.0,abra,abra
142,212,97,5056.0,13760.0,abra,onix
167,97,142,5056.0,13760.0,abra,drowzee
152,101,117,12720.0,8640.0,onix,bulbasaur
146,95,102,12720.0,8640.0,onix,charmander
151,117,116,12720.0,8640.0,onix,squirtle
142,92,102,12720.0,8640.0,onix,pikachu
180,127,152,12720.0,8640.0,onix,ninetales
222,72,77,12720.0,8640.0,onix,jigglypuff
117,77,97,12720.0,8640.0,onix,diglett
157,100,102,12720.0,8640.0,onix,psyduck
132,67,107,12720.0,8640.0,onix,abra
142,212,97,12720.0,8640.0,onix,onix
167,97,142,12720.0,8640.0,onix,drowzee
152,101,117,7040.0,9984.0,drowzee,bulbasaur
146,95,102,7040.0,9984.0,drowzee,charmander
151,117,116,7040.0,9984.0,drowzee,squirtle
142,92,102,7040.0,9984.0,drowzee,pikachu
180,127,152,7040.0,9984.0,drowzee,ninetales
222,72,77,7040.0,9984.0,drowzee,jigglypuff
117,77,97,7040.0,9984.0,drowzee,diglett
157,100,102,7040.0,9984.0,drowzee,psyduck
132,67,107,7040.0,9984.0,drowzee,abra
142,212,97,7040.0,9984.0,drowzee,onix
167,97,142,7040.0,9984.0,drowzee,drowzee
