,b1,b2,b3,b4,b5,attacker,defender
0,162,107,187,8000,12000,generated,flutter-mane
1,162,107,187,8000,12100,generated,flutter-mane
2,162,107,187,8000,12200,generated,flutter-mane
3,162,107,187,8000,12300,generated,flutter-mane
4,162,107,187,8000,12400,generated,flutter-mane
5,162,107,187,8000,12500,generated,flutter-mane
6,162,107,187,8000,12600,generated,flutter-mane
7,162,107,187,8000,12700,generated,flutter-mane
8,162,107,187,8000,12800,generated,flutter-mane
9,162,107,187,8000,12900,generated,flutter-mane
10,162,107,187,8000,13000,generated,flutter-mane
11,162,107,187,8000,13100,generated,flutter-mane
12,162,107,187,8000,13200,generated,flutter-mane
13,162,107,187,8000,13300,generated,flutter-mane
14,162,107,187,8000,13400,generated,flutter-mane
15,162,107,187,8000,13500,generated,flutter-mane
16,162,107,187,8000,13600,generated,flutter-mane
17,162,107,187,8000,13700,generated,flutter-mane
18,162,107,187,8000,13800,generated,flutter-mane
19,162,107,187,8000,13900,generated,flutter-mane
20,162,107,187,8000,14000,generated,flutter-mane
21,162,107,187,8000,14100,generated,flutter-mane
22,162,107,187,8000,14200,generated,flutter-mane
23,162,107,187,8000,14300,generated,flutter-mane
24,162,107,187,8000,14400,generated,flutter-mane
25,162,107,187,8000,14500,generated,flutter-mane
26,162,107,187,8000,14600,generated,flutter-mane
27,162,107,187,8000,14700,generated,flutter-mane
28,162,107,187,8000,14800,generated,flutter-mane
29,162,107,187,8000,14900,generated,flutter-mane
30,162,107,187,8000,15000,generated,flutter-mane
31,162,107,187,8000,15100,generated,flutter-mane
32,162,107,187,8000,15200,generated,flutter-mane
33,162,107,187,8000,15300,generated,flutter-mane
34,162,107,187,8000,15400,generated,flutter-mane
35,162,107,187,8000,15500,generated,flutter-mane
36,162,107,187,8000,15600,generated,flutter-mane
37,162,107,187,8000,15700,generated,flutter-mane
38,162,107,187,8000,15800,generated,flutter-mane
39,162,107,187,8000,15900,generated,flutter-mane
40,162,107,187,8000,16000,generated,flutter-mane
41,162,107,187,8000,16100,generated,flutter-mane
42,162,107,187,8000,16200,generated,flutter-mane
43,162,107,187,8000,16300,generated,flutter-mane
44,162,107,187,8000,16400,generated,flutter-mane
45,162,107,187,8000,16500,generated,flutter-mane
46,162,107,187,8000,16600,generated,flutter-mane
47,162,107,187,8000,16700,generated,flutter-mane
48,162,107,187,8000,16800,generated,flutter-mane
49,162,107,187,8000,16900,generated,flutter-mane
50,162,107,187,8000,17000,generated,flutter-mane
51,162,107,187,8000,17100,generated,flutter-mane
52,162,107,187,8000,17200,generated,flutter-mane
53,162,107,187,8000,17300,generated,flutter-mane
54,162,107,187,8000,17400,generated,flutter-mane
55,162,107,187,8000,17500,generated,flutter-mane
56,162,107,187,8000,17600,generated,flutter-mane
57,162,107,187,8000,17700,generated,flutter-mane
58,162,107,187,8000,17800,generated,flutter-mane
59,162,107,187,8000,17900,generated,flutter-mane
60,162,107,187,8000,18000,generated,flutter-mane
61,162,107,187,8000,18100,generated,flutter-mane
62,162,107,187,8000,18200,generated,flutter-mane
63,162,107,187,8000,18300,generated,flutter-mane
64,162,107,187,8000,18400,generated,flutter-mane
65,162,107,187,8000,18500,generated,flutter-mane
66,162,107,187,8000,18600,generated,flutter-mane
67,162,107,187,8000,18700,generated,flutter-mane
68,162,107,187,8000,18800,generated,flutter-mane
69,162,107,187,8000,18900,generated,flutter-mane
70,162,107,187,8000,19000,generated,flutter-mane
71,162,107,187,8000,19100,generated,flutter-mane
72,162,107,187,8000,19200,generated,flutter-mane
73,162,107,187,8000,19300,generated,flutter-mane
74,162,107,187,8000,19400,generated,flutter-mane
75,162,107,187,8000,19500,generated,flutter-mane
76,162,107,187,8000,19600,generated,flutter-mane
77,162,107,187,8000,19700,generated,flutter-mane
78,162,107,187,8000,19800,generated,flutter-mane
79,162,107,187,8000,19900,generated,flutter-mane
80,162,107,187,8000,20000,generated,flutter-mane
81,162,107,187,8000,20100,generated,flutter-mane
82,162,107,187,8000,20200,generated,flutter-mane
83,162,107,187,8000,20300,generated,flutter-mane
84,162,107,187,8000,20400,generated,flutter-mane
85,162,107,187,8000,20500,generated,flutter-mane
86,162,107,187,8000,20600,generated,flutter-mane
87,162,107,187,8000,20700,generated,flutter-mane
88,162,107,187,8000,20800,generated,flutter-mane
89,162,107,187,8000,20900,generated,flutter-mane
90,162,107,187,8000,21000,generated,flutter-mane
91,162,107,187,8000,21100,generated,flutter-mane
92,162,107,187,8000,21200,generated,flutter-mane
93,162,107,187,8000,21300,generated,flutter-mane
94,162,107,187,8000,21400,generated,flutter-mane
95,162,107,187,8000,21500,generated,flutter-mane
96,162,107,187,8000,21600,generated,flutter-mane
97,162,107,187,8000,21700,generated,flutter-mane
98,162,107,187,8000,21800,generated,flutter-mane
99,162,107,187,8000,21900,generated,flutter-mane
100,162,107,187,8100,12000,generated,flutter-mane
101,162,107,187,8100,12100,generated,flutter-mane
